  PID TTY           TIME CMD
  401 ??         0:04.39 /usr/sbin/universalaccessd launchd -s
  402 ??         0:02.35 /usr/libexec/neagent
  403 ??         0:01.91 /usr/libexec/pboard
  404 ??         0:05.96 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
  405 ??         2:01.47 /usr/libexec/pkd
  406 ??         0:00.84 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Support/BackgroundTaskManagementAgent.app/Contents/MacOS/BackgroundTaskManagementAgent
  407 ??         0:17.05 /usr/libexec/lsd
  408 ??         1:03.65 /System/Library/CoreServices/talagentd
  409 ??         1:40.90 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
  410 ??         0:32.02 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  411 ??         0:56.20 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  412 ??         0:03.07 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  413 ??         5:51.93 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  414 ??         0:00.03 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
  415 ??         0:14.33 /usr/libexec/secd
  418 ??         0:02.23 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
  419 ??         0:00.02 /System/Library/CoreServices/APFSUserAgent
  420 ??         0:12.25 /usr/libexec/nsurlsessiond
  422 ??         0:38.08 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  423 ??         1:40.21 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
  424 ??         0:10.39 /usr/libexec/rapportd
  425 ??         0:00.28 /usr/libexec/dmd
  426 ??         0:01.10 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
  427 ??         0:17.89 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
  428 ??         4:02.60 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  429 ??         0:02.07 /usr/sbin/distnoted agent
  430 ??         0:01.00 /usr/sbin/usernoted
  431 ??         0:10.57 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
  432 ??         0:12.46 /usr/libexec/secinitd
  433 ??         0:06.90 /usr/sbin/filecoordinationd
  434 ??         0:31.61 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
  435 ??         0:02.18 /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Versions/A/Support/siriactionsd
  436 ??         0:24.43 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
  437 ??         0:15.29 /System/Library/PrivateFrameworks/iCloudDriveCore.framework/Versions/A/Support/bird
  438 ??         0:18.16 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  439 ??         0:00.04 automountd
  440 ??         0:00.52 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
  441 ??         0:05.17 /System/Library/CoreServices/sharedfilelistd
  442 ??         0:34.63 /usr/libexec/trustd --agent
  443 ??         0:00.97 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
  444 ??         0:00.28 /System/Library/PrivateFrameworks/SocialLayer.framework/sociallayerd.app/Contents/MacOS/sociallayerd
  445 ??         0:16.37 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
  446 ??         2:19.32 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  447 ??         0:11.50 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
  448 ??         0:12.40 /System/Library/PrivateFrameworks/CalendarDaemon.framework/Support/calaccessd
  451 ??         0:02.61 /System/Library/CoreServices/iconservicesagent
  452 ??        10:55.88 /usr/libexec/triald
  453 ??         0:16.26 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  454 ??         0:35.70 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
  455 ??         0:00.34 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
  456 ??         0:00.83 /usr/libexec/ContinuityCaptureAgent server
  457 ??         0:10.09 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  458 ??         0:02.49 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension -AppleLanguages ("en-IN")
  459 ??         0:54.41 /System/Library/PrivateFrameworks/TVIdleServices.framework/idleassetsd
  460 ??         0:00.11 /System/Library/PrivateFrameworks/NewDeviceOutreach.framework/ndoagent
  461 ??         0:11.36 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  462 ??         0:00.86 /usr/libexec/wallpaperexportd
  463 ??         0:00.37 /usr/libexec/icloudmailagent
  464 ??         0:00.03 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
  465 ??         0:00.05 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
  466 ??         0:00.30 /usr/libexec/intelligentroutingd
  467 ??         0:01.51 /System/Library/CoreServices/audioaccessoryd
  468 ??         0:00.69 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
  469 ??         0:06.32 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
  470 ??         0:07.91 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  471 ??         0:18.97 /System/Library/ExtensionKit/Extensions/WallpaperImageExtension.appex/Contents/MacOS/WallpaperImageExtension
  472 ??         0:00.60 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
  473 ??         0:03.23 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
  474 ??         0:00.05 /System/Library/Frameworks/ManagedSettings.framework/Versions/A/ManagedSettingsAgent
  475 ??        25:37.13 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
  476 ??         0:02.57 /System/Library/PrivateFrameworks/MobileTimer.framework/Executables/mobiletimerd
  477 ??         0:06.47 /usr/libexec/replayd
  478 ??         0:03.47 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
  479 ??         0:00.34 /usr/libexec/findmylocateagent
  480 ??         0:00.44 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  481 ??         0:00.86 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/CarbonComponentScannerXPC.xpc/Contents/MacOS/CarbonComponentScannerXPC
  482 ??         0:18.81 /usr/libexec/networkserviceproxy
  483 ??         0:00.03 /usr/libexec/rosetta/oahd
  484 ??         0:00.52 /System/Library/PrivateFrameworks/ReplicatorCore.framework/Support/replicatord
  486 ??         0:36.98 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  487 ??         0:26.27 /usr/libexec/nearbyd
  488 ??         0:08.09 /usr/libexec/transparencyd
  489 ??         0:01.56 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
  490 ??         0:00.58 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  491 ??         0:04.66 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  492 ??         0:09.27 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd --system
  493 ??         0:09.99 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
  494 ??         0:43.85 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
  495 ??         0:00.37 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
  496 ??         0:00.34 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
  497 ??         0:02.38 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem system_app_start
  498 ??         0:01.67 /System/Library/PrivateFrameworks/GenerativeExperiencesRuntime.framework/Versions/A/generativeexperiencesd
  500 ??         0:03.56 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
  501 ??         0:00.04 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
  502 ??         0:00.28 /usr/libexec/milod
  503 ??         0:48.29 /usr/libexec/sharingd
  505 ??         0:10.26 /System/Library/PrivateFrameworks/HearingCore.framework/heard
  506 ??         0:06.53 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
  507 ??         0:01.70 /System/Library/PrivateFrameworks/AXAssetLoader.framework/Support/axassetsd
  509 ??         5:48.16 /opt/homebrew/opt/mongodb-community@7.0/bin/mongod --config /opt/homebrew/etc/mongod.conf
  510 ??         0:50.65 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
  513 ??         0:37.36 /System/Library/CoreServices/Siri.app/Contents/MacOS/Siri launchd
  514 ??         0:00.10 /System/Library/Image Capture/Support/icdd
  515 ??         0:00.12 /System/Library/PrivateFrameworks/IntlPreferences.framework/Support/localizationswitcherd
  516 ??         0:01.97 /System/Library/PrivateFrameworks/AskPermission.framework/Versions/A/Resources/askpermissiond
  518 ??         0:00.85 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
  519 ??         0:09.66 /usr/libexec/knowledge-agent
  520 ??         0:13.55 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  522 ??         0:05.65 /System/Library/CoreServices/diagnostics_agent
  523 ??         0:01.71 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
  525 ??         0:03.40 /System/Library/PrivateFrameworks/AppleMediaServices.framework/Resources/amsaccountsd
  528 ??         0:00.04 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
  530 ??         0:11.74 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
  531 ??         0:03.62 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  533 ??         0:02.47 /System/Library/CoreServices/TextInputSwitcher.app/Contents/MacOS/TextInputSwitcher
  534 ??         0:01.09 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  535 ??         0:05.28 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistoryPluginHelper
  536 ??         0:00.22 /System/Library/PrivateFrameworks/iCloudDriveService.framework/XPCServices/ContainerMetadataExtractor.xpc/Contents/MacOS/ContainerMetadataExtractor
  537 ??         0:00.03 /System/Library/CoreServices/ReportCrash agent
  538 ??         0:00.07 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
  540 ??         0:01.94 /System/Library/PrivateFrameworks/SiriInference.framework/Versions/A/siriinferenced
  541 ??         0:17.07 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
  542 ??         0:00.66 /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
  543 ??         0:00.15 /usr/libexec/diagnosticextensionsd
  544 ??         0:00.48 /System/Library/Frameworks/FinanceKit.framework/financed
  545 ??         0:01.06 /usr/libexec/appleaccountd
  546 ??         0:38.06 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
  547 ??         0:00.44 /System/Applications/Calendar.app/Contents/PlugIns/CalendarWidgetExtension.appex/Contents/MacOS/CalendarWidgetExtension
  548 ??         0:00.35 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
